Nombre,17/18Goals,17/18 Asst,16-17 Goals,16/17 Asst,15/16Goals,15/16 asst,14/15 Goals,14/15 Asst,13/14 Goals,13/14 Asst,12/13 Goals,12/13 Asst,11/12 Goals,11/12 Asst,10/11 Goals,10/11 Asst,09/10 Goals,09/10 Asst,Total Goals,Total Asst
Messi,40,14,48,11,32,17,53,27,36,13,54,17,64,29,43,25,42,13,329,166
Ronaldo,41,8,37,11,51,15,58,20,48,17,46,12,56,17,46,17,33,13,311,130
